îN,ç~êÖó ,ãCâ∑,éºìx,ïóå¸ÅEïóë¨,"ì˙è∆
éûä‘
(h)",ê·(ä¶åÛîN),,,,,,,,,,,,,,
1998,1066,66,18,///,5.4,8.9,1.6,26.7,-20.9,///,///,1.9,8,êº,///,///,1377.9,///,///,///
1999,1459,76,44,///,5.9,9.3,2.1,32.3,-23.3,///,///,1.9,8,êºñkêº,///,///,1400.6,///,///,///
2000,1329,94,32,///,5.2,8.5,1.7,33.4,-23.2,///,///,1.7 ],10 ],ñk,///,///,1226.5,///,///,///
2001,1237,108,12,///,4.8,8.1,1.2,28.3,-24.6,///,///,1.8,7,ìÏìÏêº,///,///,1401.6,///,///,///
2002,1137,52,17,///,5.7,9.2,2.0,30.1,-19.5,///,///,1.8,8,ìÏìÏêº,///,///,1349.0,///,///,///
2003,887,45,14,///,5.5,9.4,1.5,27.1,-22.5,///,///,1.8,8,ñkñkìå,///,///,1469.6,///,///,///
2004,1141,59,25,///,6.6,10.6,2.5,31.4,-16.7,///,///,1.9,13,ìÏìÏêº,///,///,1473.8,///,///,///
2005,1096,62,22,///,5.8,9.5,1.8,30.1,-22.8,///,///,2.0,9,ñkñkìå,///,///,1487.0,///,///,///
2006,1192,51,26,///,5.8,9.5,2.0,28.5,-21.2,///,///,1.9,10,ñk,///,///,1364.3,///,///,///
2007,982,56,14,///,5.8,9.6,1.7,31.3,-18.9,///,///,1.8,10,ñk,///,///,1437.0,///,///,///
2008,739.5,63.5,20.0,3.0 ],6.1,9.9,2.1,29.7,-19.7,///,///,2.0,11.6,ñkêº,19.4 ],ñkêº,1397.7,///,///,///
2009,889.5,51.5,25.0,9.0,5.9,9.5,2.3,28.1,-16.8,///,///,3.2,15.3,ìå,24.7,ìå,1515.1,///,///,///
2010,937.0,44.0,25.0,10.5,6.8,10.4,3.1,31.7,-17.9,///,///,3.2,13.0,ìåìÏìå,24.8,ìÏêº,1523.0,///,///,///
2011,659.5 ],24.0 ],7.5 ],4.5 ],6.9,10.5,3.2,30.2,-22.9,///,///,3.2,13.9,ìå,22.9,ìå,1576.9,///,///,///
2012,769.5,45.5,15.5,6.0,6.2,9.9,2.5,33.1,-18.7,///,///,2.9,13.7,ìå,26.3,ìÏêº,1456.8,///,///,///
2013,764.5,38.0,20.5,6.5,6.7,10.3,3.1,30.5,-18.7,///,///,3.0,13.3,ìå,23.0,ñkìå,1425.5,///,///,///
2014,716.0,52.0,16.0,12.0,6.6,10.5,2.8,30.6,-22.0,///,///,2.9,16.3,ìå,26.0,ìåìÏìå,1679.3,///,///,///
2015,730.5,60.0,13.5,6.0,6.7,10.2,3.2,28.4,-17.3,///,///,2.9,13.6,ìÏìÏêº,30.7,ìÏìÏêº,1316.3,///,///,///
2016,904.0,68.0,28.5,8.5,5.6,9.2,1.9,29.7,-19.2,///,///,2.8,14.4,ìå,23.7,ìå,1562.7,///,///,///
2017,676.5,33.0,10.5,4.0,5.9,9.6,2.2,30.3,-18.4,///,///,3.0,16.0,ìå,27.9,ìå,1608.3,///,///,///
2018,840.0,37.0,11.5,5.0,6.1,9.9,2.3,32.5,-20.1,///,///,2.9,15.5,ìå,25.0,ìÏêº,1588.2,///,///,///
2019,556.5,54.5,20.5,5.5,6.4,10.2,2.6,30.0,-20.1,///,///,2.8,10.7,ìÏìå,22.4,ìÏìÏêº,1626.0,///,///,///
2020,874.5,51.5,17.0,10.0,6.5,10.1,3.1,29.1,-17.7,///,///,2.7,12.3,ñkñkìå,22.3,ìÏêº,1593.7,///,///,///
2021,875.0,51.0,45.0,14.5,6.7,10.7,2.9,33.2,-19.3,///,///,2.7,12.6,ìå,27.2,êº,1587.7 ],///,///,///
2022,820.0,68.5,26.5,9.0,6.8,10.5,3.1,28.0,-19.1,///,///,2.8,12.7,ìåñkìå,25.2,ñkìå,1530.0,///,///,///
