îN,ãCà≥(hPa),ç~êÖó (mm),ãCâ∑(Åé),éºìx(Åì),ïóå¸ÅEïóë¨(m/s),"ì˙è∆
éûä‘
(h)","ëSìVì˙éÀó 
(MJ/m2)",ê·(ä¶åÛîNÅEcm),â_ó ,ëÂãCåªè€,,,,,,,,,,,,,,,,,
1955,1010.9,1011.4,1510.2,138.1,24.9 ],9.8 ],6.8,9.6,4.3,29.0,-13.7,77,,5.5,,,,,1504.6,,488,,40 ],7.6,145,19,5
1956,1010.9,1011.3,988.9,27.9,6.5 ],3.0 ],6.2,9.0,3.7,26.4,-15.4,76,,5.2,,,,,1489.9,,417,,6 ],7.6,140,16,3
1957,1011.0,1011.3,1285.2,37.6,27.2 ],13.6 ],6.5,9.4,4.1,27.9,-13.1,76,,5.0,,,,,1629.8,,586,,111 ],7.4,152,9,8
1958,1011.6,1012.0,1162.7,61.4,37.8 ],12.0 ],6.7,9.7,4.1,27.7,-15.0,76,,5.1,,,,,1670.6,,444,,130 ],7.4,144,15,10
1959,1011.8,1012.2,1210.5,44.6,14.0 ],9.4 ],6.8,9.6,4.3,26.4,-14.4,76,,4.8,,,,,1614.1,,313,,,7.5,128,17,6
1960,1011.6,1012.0,1103.4,41.8,18.9 ],15.3 ],6.0,9.0,3.4,29.4,-13.8,74,,5.0,,,,,1744.8,,437,,,7.1,142,28,8
1961,1010.7,1011.1,1297.4,71.3,27.9 ],16.3 ],7.2,10.1,4.7,28.7,-16.9,76,28,4.6,19.3,ñk,23.9 ],êº,1688.3,9.2,392,26 ],95 ],7.3,150,22,7
1962,1010.7,1011.1,1753.7,76.0,17.7,7.6,6.6,9.6,4.1,26.6,-13.7,76,30,4.3,19.8,ñkñkêº,32.5,ìÏêº,1596.5,9.1,547,27,98,7.4,136,13,11
1963,1010.9,1011.3,1261.4,69.9,31.8,12.0,7.0,9.8,4.5,23.9,-12.1,76,28,4.3,17.8,ñkñkìå,27.9 ],ìÏìÏêº,1623.4,11.3,419,50,113,7.3,134,18,9
1964,1013.7,1014.1,1292.3,84.2,18.7,6.2,6.0,8.9,3.1,25.1,-13.6,76,19,4.1,17.0,ìÏìÏêº,31.5,ìÏìÏêº,1643.2,11.3,382,26,70,7.4,138,21,6
1965,1009.5,1009.9,1571.8,102.5,25.5,8.3,6.1,9.0,3.3,26.4,-12.6,78,28,4.3,18.7,ñkìå,27.7,ñkñkìå,1491.1,10.7,532,29,96,7.4,147,22,8
1966,1010.1,1010.5,1619.7,82.4,18.7,10.8 ],6.0,8.8,3.2,27.9,-14.6,79,34,4.6,17.8,ñkìå,28.1,êºñkêº,1354.5,10.3,585,33,120,7.7,147,26,4
1967,1011.2,1011.6,1170.5,39.6,18.2,10.0,6.4,9.3,3.4,27.2,-17.1,78,31,4.1,19.2,ìÏêº,29.5,ìÏêº,1609.1,12.4,428,26,87,7.1,141,26,11
1968,1011.8,1012.2,815.5,43.5,11.0,9.0,7.3,10.0,4.6,25.9,-13.8,77,30,5.0,18.3,ñkìå,30.8,êºñkêº,1607.3,12.3,440,43,100,7.5,126,25,5
1969,1009.7,1011.1,1062.0,60.5,17.0,7.0,5.0,7.8,2.4,25.6,-16.9,75,22,5.6,22.3,ñk,34.8,ñkñkêº,1398.5,11.5,429,52,156,8.0,125,23,4
1970,1010.2,1011.5,1309.5,155.5,36.0,9.0,6.3,9.1,3.4,28.2,-18.2,77,22,5.6,24.5,ñkìå,35.0,ìÏ,1589.7,9.2 ],627,48,199,7.6,146,16,6
1971,1010.4,1011.7,1061.5,63.0,23.5,9.5,5.8,8.5,3.2,25.7,-14.9,76,27,5.6,20.8,ñk,30.5 ],ñk,1530.2,10.4 ],334,33,110,7.7,145,11,8
1972,1010.5,1011.8,1319.0,77.5,15.5,11.5,6.8,9.6,4.0,26.6,-14.2,77,23,6.2,26.8,ñkìå,38.4,ñkìå,1621.1,9.0 ],282,33,84,7.8,125,14,8
1973,1009.6,1011.0,1101.5,38.0,10.5,7.5,6.7,9.3,4.0,28.2,-12.1,72,29,5.3,23.7,ñkìå,33.2,ìÏêº,1670.9,10.5,314,26,84,7.5,149,13,6
1974,1010.4,1011.7,1214.0,58.5,15.5,5.5,6.1,8.7,3.6,26.0,-12.2,74,30,5.0,22.2,ñkìå,33.6,ñkìå,1679.1,10.3,413,33,98,7.9,143,17,8
1975,1011.3,1012.6,986.5,49.5,16.5,5.5,6.6,9.1,4.0,27.3,-13.9,76,26,4.6,21.1,ñk,29.6,ñkñkêº,1604.8,9.0 ],557,48,106,7.8,143,26,8
1976,1009.8,1011.2,1012.5,44.5,30.5,13.5,6.3,8.8,3.9,26.2,-12.2,71,25,5.0,20.2,ñkìå,31.8,êº,1712.9,11.2,298,15,35,7.7,131,19,4
1977,1011.1,1012.4,1019.5,55.0,19.0,12.0,6.3,9.2,3.6,27.2,-16.4,70,26,4.8,17.5,ñkñkêº,29.2,ìÏìÏêº,1699.6,10.8,451,34,79,7.7,165,26,7
1978,1009.8,1011.1,978.0,56.0,23.5,13.5,6.6,9.5,3.9,29.5,-18.3,71,24,4.5,19.0,ñkñkêº,31.7,ìÏìÏêº,1791.6,11.4,583,43,87,7.5,133,23,12
1979,1010.7,1012.1,881.0,44.0,13.0,9.5,6.4,9.1,3.7,27.5,-16.8,72,18,4.6,22.2,ñkñkêº,31.8,êº,1815.1,11.6,313,24,46,7.6,133,26,11
1980,1009.9,1011.3,993.5,57.0,32.5,12.0,5.9,8.6,3.4,23.1,-15.6,72,29,4.5,19.2,ìåìÏìå,32.0,êºñkêº,1665.7,11.0,335,26,100,7.7,145,24,9
1981,1009.3,1010.7,1237.0,56.5,19.0,6.5,6.1,8.7,3.8,27.1,-13.0,73,28,4.9,19.2,ñkìå,34.0,ìÏ,1604.0,10.7,405,21,98,7.8,125,9,14
1982,1010.7,1012.0,943.5,61.0,24.5,6.5,6.9,9.6,4.3,30.0,-14.9,74,29,4.6,22.0,ñk,36.6,êº,1871.2,11.5,607,35,87,7.6,153,18,10
1983,1010.4,1011.8,1020.0,55.0,19.0,5.5,5.9,8.4,3.3,28.5,-14.6,76,23,4.5,19.8,ñk,30.5,ñkñkêº,1718.3,10.7,504,40,100,7.7,132,15,11
1984,1011.1,1012.5,887.5,48.0,26.0,12.0,6.3,8.9,3.8,29.2,-12.2,76,28,4.6,17.4,êº,39.7,êº,1952.6,11.7,299,27,69,7.7,145,12,11
1985,1011.0,1012.3,1116.5,69.5,40.0,14.5,6.0,8.6,3.5,29.6,-17.2,76,22,4.3,20.9,ìåñkìå,32.9,ìåñkìå,1846.7,11.5,376,22,86,7.7,142,16,7
1986,1010.3,1011.6,776.5,39.5,11.0,5.0,5.7,8.3,3.1,29.8,-16.8,75,28,4.7,19.7,êºìÏêº,36.1,êºìÏêº,1529.9,11.1,483,38,100,7.8,148,15,8
1987,1010.1,1011.4,937.5,37.0,16.0,8.0,6.2,8.7,3.6,24.8,-14.0,75,26,4.6,19.2,ñk,28.8,ñkñkêº,1414.5,10.6,411,26,110,8.0,151,9,3
1988,1010.1,1011.5,876.0,44.0,18.5,5.0,6.1,8.7,3.6,30.4,-13.9,76,23,4.3,21.5,ñk,32.1,ñkñkêº,1577.5,11.4,542,50,113,7.8,145,15,8
1989,1011.7,1013.0,1110.5,70.0,16.5,12.0,7.4,10.0,4.9,29.8,-11.6,75,17,4.4,19.3,ñk,27.8,ñkñkêº,1591.8,11.0,189,19,32,7.6,126,18,5
1990,1011.8,1013.1,1087.5,84.0,31.0,9.5,8.2,10.8,5.6,26.5,-14.4,75,25,4.3,16.8,êºìÏêº,37.0,ìÏêº,1599.8,11.3,401,46,91,7.4,116,17,10
1991,1010.4,1011.8,998.5,62.0,13.0,9.5,7.3,9.8,4.8,25.5,-11.8,76,26,4.5,18.5,ñk,28.9,ñkìå,1440.5,11.1,494,45,114,7.9,125,8,10
1992,1010.9,1012.3,1110.5,83.5,19.0,9.5,6.7,9.2,4.2,25.1,-9.6,77,26,4.5,21.6,ñk,31.6,ñk,1314.5,10.2,297,31,77,8.0,140,12,12
1993,1010.7,1012.0,803.5,40.5,8.5,5.5,6.6,9.0,4.2,25.4,-11.3,76,22,4.5,18.4,ñk,33.9,êºìÏêº,1373.9,10.1,462,61,76,8.1,146,13,8
1994,1009.8,1011.2,1107.0,76.0,39.5,12.0,7.2,9.8,4.8,29.2,-12.0,75,27,4.7,17.4,ñk,37.9,ìÏìÏêº,1468.1,10.4,383,18,73,7.9,149,14,9
1995,1009.3,1010.6,1096.0,56.5,38.0,21.0,7.6,10.0,5.1,25.4,-11.5,76,26,4.4,22.8,ìÏêº,44.9,êºìÏêº,1532.0,11.0,295,18,49,7.8,137,19,20
1996,1010.0,1011.3,1352.5,67.0,34.5,14.0,6.2,8.8,3.7,26.2,-15.4,73,29,4.4,19.8,ñkñkêº,29.8,ìÏêº,1221.5,10.8,206,20,36,8.1,145,16,15
1997,1009.8,1011.2,1212.0,64.5,25.0,13.5,6.9,9.3,4.4,25.8,-11.7,74,25,4.5,17.2,ñk,27.4,êºìÏêº,1167.7,10.5,383,40,106,7.9,145,22,15
1998,1011.8,1013.1,1058.5,54.0,10.0,7.5,6.6,9.3,4.0,24.5,-15.7,75,24,4.6,19.3,ñk,32.5,êº,1483.1,11.6,337,43,80,7.8,116,6,14
1999,1009.8,1011.1,1409.5,83.5,29.0,13.5,7.0,9.6,4.4,28.7,-13.7,77,18,4.6,18.3,ñkñkêº,29.8,ìÏêº,1464.9,11.5,543,52,96,8.2,147,9,14
2000,1010.3,1011.6,1044.0,87.5,45.5,14.5,6.7,9.3,4.2,30.4,-14.3,80,30,4.3,19.6,ñk,30.2,ìåñkìå,1279.8,10.7,415,28,75,8.4,151,15,7
2001,1010.1,1011.4,1038.5,61.0,13.0,7.5,6.0,8.6,3.5,27.9,-15.6,77,23,4.7,17.6,ñk,30.3,ìÏìÏêº,1340.1,11.0,410,20,68,8.0,148,9,9
2002,1010.1,1011.4,1194.5,50.5,20.0,13.5,7.0,9.7,4.5,26.4,-12.1,73,19,4.5,17.1,ñkñkêº,33.2,ìÏêº,1477.5,11.4,316,20,54,7.8,127,3,6
2003,1011.5,1012.9,947.5,96.0,30.5,9.0,6.8,9.5,4.2,23.3,-13.0,72,16,4.4,18.3,ñk,34.1,ìÏêº,1674.3,12.0,313,39,66,7.5,133,12,10
2004,1009.8,1011.2,1153.0,79.5,21.5,9.5,7.7,10.4,5.1,26.6,-10.3,72,21,4.9,18.7,ñkìå,34.7,ìÏ,1540.4,11.3,451,32,89,7.8,142,14,13
2005,1008.9,1010.4,1051.0,56.0,29.5,10.5,7.1,9.6,4.6,28.4,-15.0,73,24,4.7,18.6,ñkìå,37.6,êºìÏêº,1560.7,11.6,420,28,93,7.8,150,12,18
2006,1010.8,1012.3,1126.0,44.5,16.0,11.5,7.0,9.7,4.5,27.5,-12.6,76,26,4.4,18.4,ñk,31.9,êºìÏêº,1434.3,11.0,607,33,72,8.0,158,14,10
2007,1010.5,1011.9,905.5,88.0,27.0,10.0,7.0,9.7,4.4,27.5,-10.3,76,22,4.3,21.8,ñk,32.1,ñk,1535.5,11.4,461,29,49,7.7,140,13,14
2008,1010.8,1012.3,795.5,33.0,17.5,7.0,7.1,9.9,4.4,28.1,-13.8,77,24,4.2,18.1,ñk,25.9,ñkñkêº,1552.8,11.3,535,38,69,7.6,130,11,16
2009,1010.0,1011.4,1171.0,48.0,16.0,5.5,6.9,9.5,4.4,26.5,-10.5,77,21,4.4,17.2,ñkìå,25.6,ñkìå,1393.5,10.9,599,31,109,8.1,139,11,19
2010,1010.1,1011.6,1312.5,66.5,53.5,18.5,7.5,10.1,5.0,28.0,-13.9,78,27,4.4,18.6,ñk,29.7,ìÏêº,1419.6,10.9,705,42,98,8.1,150,17,11
2011,1009.6,1011.1,1204.0,56.5,34.0,18.0,7.3,9.9,4.8,27.9,-11.4,77,32,4.5,17.5,ñk,24.9,ñk,1430.5,10.9,444,20,48,8.1,130,10,9
2012,1010.8,1012.2,1159.5,80.0,16.0,11.0,6.8,9.5,4.3,29.0,-12.9,77,23,4.5,20.6,ìÏêº,36.0,êºìÏêº,1377.4,10.8,633,35,101,8.4,142,15,6
2013,1009.2,1010.6,1045.5,64.5,14.5,7.5,7.3,9.9,4.8,28.6,-11.8,75,27,4.8,25.4,ñk,34.1,ñk,1384.1,10.9,610,51 ],113,8.1,157,9,7
2014,1010.1,1011.5,1291.0,113.0,39.0,9.0,7.1,9.9,4.5,26.3,-12.4,74,21,4.8,20.9,ñkñkìå,29.8,ñkñkìå,1640.6,11.8,367,15,56,7.6,126,10,12
2015,1010.6,1012.1,1148.0,104.5,20.0,8.0,7.8,10.3,5.3,26.1,-11.0,74,18,4.9,22.3,ñk,37.4,êºìÏêº,1437.5,10.8,365,21,44,8.1,127,13,4
2016,1011.1,1012.6,1422.5,192.0,35.5,10.5,6.8,9.5,4.3,28.6,-10.9,71,14,4.7,20.8,ñkìå,29.1,ñkìå,1401.1,10.9,442,32,66,8.1,135,10,10
2017,1009.2,1010.7,1032.5,47.5,27.5,12.0,6.9,9.6,4.4,26.0,-12.0,73,20,4.8,20.7,ñkñkêº,32.9,ñkñkêº,1502.0,11.2,387,29,34,8.1,150,12,6
2018,1010.5,1012.0,1114.0,66.5,16.5,9.0,7.3,10.0,4.8,29.9,-11.6,75,22,4.8,17.4,ñk,28.8,êº,1471.0,11.2,613,27,80,8.2,144,5,7
2019,1010.2,1011.7,749.0,58.5,26.5,10.0,7.5,10.3,4.8,29.7,-15.7,75,17,4.7,18.9,ñkìå,33.6,êº,1568.6,11.6,290,17,39,7.9,121,8,10
2020,1011.1,1012.5,1221.5,150.5,27.0,10.0,7.6,10.1,5.1,27.8,-12.2,76,24,4.8,24.0,ñkìå,30.6,ñkìå,1519.6,11.3,269,11,24,8.7 ],54 ],12 ],27 ]
2021,1010.8,1012.2,1061.5,33.0,12.0,7.5,8.0,11.0,5.3,32.7,-15.2,77,17,4.8,20.5,ñkìå,27.7,ñk,1671.9,11.9,509,25,104 ],,134,43,22
2022,1010.2,1011.6,1071.0,67.0,36.5,13.5,8.0,10.6,5.4,28.4,-10.6,77,16,5.0,24.6,ñkìå,33.1,ñkñkìå,1502.1,11.4,413,20,105 ],,131,23,14 ]
2023,1010.9 ],1012.3 ],436.0 ],42.0 ],7.0 ],4.0 ],4.2 ],6.9 ],1.5 ],23.2 ],-13.5 ],77 ],21 ],4.8 ],21.5 ],ñkìå,27.6 ],ñkìå,837.3 ],12.7 ],401 ],22 ],100 ],,126 ],20 ],0 ]
