îN,ç~êÖó ,ãCâ∑,éºìx,ïóå¸ÅEïóë¨,"ì˙è∆
éûä‘
(h)",ê·(ä¶åÛîN),,,,,,,,,,,,,,
1998,1296,82,25,///,5.1,10.0,-0.5,28.0,-30.5,///,///,2.1,14,ñkñkìå,///,///,1208.4,634,32,78
1999,1694,63,42,///,5.5,10.1,0.0,32.6,-28.6,///,///,2.0,11,ìÏêº,///,///,1151.8,1333,47,192
2000,1493,100,31,///,4.8,9.6,-0.4,33.3,-30.2,///,///,1.7 ],11 ],ñk,///,///,1106.6,986,38,148
2001,1495,105,18,///,4.2,9.0,-1.1,29.9,-30.7,///,///,1.9,10,êºìÏêº,///,///,1220.2,885,46,156
2002,1353,59,21,///,5.2,10.0,-0.4,30.9,-26.9,///,///,1.9,11,ìÏêº,///,///,1138.9,808,61,149
2003,1054,58,20,///,4.8,10.4,-1.3,28.8,-29.4,///,///,1.9,12,ñkñkìå,///,///,1411.3,701,37,127
2004,1316,55,30,///,5.8,11.0,-0.1,31.2,-27.0,///,///,2.0,14,ñkñkìå,///,///,1306.0,1027,69,184
2005,1231,66,20,///,5.0,10.2,-0.9,32.0,-30.6,///,///,1.9,13,ñkñkìå,///,///,1337.3,1032,61,187
2006,1531,101,22,///,5.2,10.2,-0.4,30.8,-30.6,///,///,1.9,13,ñkñkìå,///,///,1258.2,1296,42,170
2007,1042,73,21,///,5.0,10.3,-1.0,31.1,-28.0,///,///,1.8,13,ñkìå,///,///,1341.9,1004,77,179
2008,929.0,67.5,23.0,2.0 ],5.0 ],10.5 ],-1.0 ],32.1,-30.8,///,///,1.8 ],12 ],ñkñkìå,16.3 ],êºìÏêº,1353.0 ],801,36,107
2009,1254.5,66.0,19.5,7.0,5.5,10.7,-0.3,30.9,-26.3,///,///,2.0,11.5,ìÏêº,21.5,ìÏêº,1309.0,834,35,197
2010,1614.5,76.0,32.5,11.0,6.1,11.1,0.8,32.5,-25.9,///,///,2.1,15.3,ìÏêº,26.2,ìÏêº,1264.6,851,33,158
2011,1127.5,42.0,35.5,15.5,5.4,10.8,-0.6,32.0,-30.1,///,///,2.0,10.6,ìÏêº,19.1,ìÏìÏêº,1405.1,720,40,141
2012,957.5,49.5,15.5,6.0,4.9,10.4,-1.1,33.1,-30.8,///,///,1.9,13.3,ìÏêº,26.1,ìÏìÏêº,1316.8,751,45,140
2013,1264.5,51.0,26.5,9.5,5.5,10.7,0.0,32.7,-31.9,///,///,2.1,12.7,ñkñkìå,22.7,///,1291.1,974,53,176
2014,1201.0,85.0,35.0,14.5,5.1,10.8,-1.0,30.3,-30.0,///,///,2.0,12.7,êºìÏêº,25.2,êº,1492.1,782,42,180
2015,1167.5,121.5,17.0,9.5,6.2,11.2,0.8,30.3,-27.7,///,///,2.0,15.0,ìÏêº,31.8,ìÏêº,1311.4,654,30 ],145 ]
2016,1277.5,56.5,22.5,6.5,5.2,10.3,-0.5,31.9,-28.7,///,///,2.0 ],12.4 ],ìå,23.8 ],ìå,1366.5,658,29,139
2017,1083.0,35.5,21.5,9.0,5.4,10.6,-0.1,31.0,-26.1,///,///,1.9,12.1,êºìÏêº,24.7,ìÏêº,1387.4,666,35,104
2018,1234.0,52.5,11.5,7.5,5.7,10.9,-0.1,35.0,-29.1,///,///,1.8 ],11.5 ],ìÏêº,22.1 ],ìÏêº,1309.4,915,52,196
2019,923.0,55.5,31.5,12.5,6.0,11.5,-0.1,32.4,-28.9,///,///,1.7,10.7,êºìÏêº,22.7,ìÏêº,1385.6,581,25,98
2020,1437.5,68.5,28.5,11.5,6.0,11.2,0.7,31.5,-27.8,///,///,1.6 ],9.7 ],êºìÏêº,18.9 ],êºìÏêº,1350.5,580,43,110
2021,1401.0,69.0,27.5,11.5,6.4,12.1,0.5,35.8,-28.1,///,///,1.6 ],12.9 ],êºìÏêº,24.4 ],ìÏêº,1494.3 ],720,38,152
2022,1287.0,92.5,23.0,8.0,6.4,11.8,0.5,30.2,-29.3,///,///,1.6 ],11.3 ],êºìÏêº,22.6 ],ñkñkìå,1416.4,609,40 ],122 ]
