îN,ç~êÖó ,ãCâ∑,éºìx,ïóå¸ÅEïóë¨,"ì˙è∆
éûä‘
(h)",ê·(ä¶åÛîN),,,,,,,,,,,,,,
1998,1171,59,23,///,6.1,9.8,2.1,27.2,-22.0,///,///,2.3,9,ñkêº,///,///,1253.2,619,28,103
1999,1476,86,28,///,6.5,10.0,2.5,29.8,-21.9,///,///,2.3,9,êºñkêº,///,///,1228.1,1084,62,133
2000,1270,82,44,///,6.2,9.8,2.2,33.1,-22.1,///,///,2.2,9 ],ñk,///,///,1163.6,745,27,93
2001,1370,73,27,///,5.5,9.0,1.7,28.1,-23.0,///,///,2.3,9,ìå,///,///,1229.4,724,52,120
2002,1180,46,13,///,6.5,10.2,2.4,29.3,-18.2,///,///,2.3,9,ìå,///,///,1271.0,677,20,77
2003,849,47,13,///,6.3,10.5,1.8,27.3,-23.1,///,///,2.3,9,êºñkêº,///,///,1430.2,620,28,108
2004,1079,83,36,///,7.1,11.0,2.8,28.3,-19.4,///,///,2.5,11,êºñkêº,///,///,1305.7,782,48,135
2005,937,51,13,///,6.4,10.4,2.1,29.5,-22.5,///,///,2.3,9,ìÏìå,///,///,1318.8,718,20,114
2006,1163,71,36,///,6.6,10.3,2.5,30.8,-23.6,///,///,2.3,9,ìåìÏìå,///,///,1231.4,839,30,93
2007,766,70,22,///,6.5,10.5,2.2,29.1,-19.2,///,///,2.4,12,ìåìÏìå,///,///,1425.3,712,36,87
2008,640.5,29.0,14.5 ],6.5 ],6.3,10.4,1.8,29.0,-25.0,///,///,3.8,15,ìÏìÏêº,20.7 ],êºñkêº,1609.7,684,21,81
2009,907.5,56.5,19.5,7.0,6.2,10.1,1.9,29.4,-19.0,///,///,3.8,15.8,êºìÏêº,21.8,êºìÏêº,1449.7,616,22,87
2010,1167.5,86.5,46.5,19.0,6.8,10.5,2.7,29.3,-20.1,///,///,4.0,19.7,êºìÏêº,27.2,êºìÏêº,1390.8,780,26,104
2011,1134.0,61.5,30.0,16.0,6.2,9.9,2.0,28.1,-24.7,///,///,3.8,15.7,ìÏêº,25.0,êºìÏêº,1470.8,694,34,72
2012,1014.0,98.5,44.0,16.5,5.9,9.8,1.5,30.7,-27.1,///,///,3.6,19.7,êº,29.0,ìÏìÏêº,1464.5,767,32,118
2013,895.0,46.5,32.5,13.5,6.3,10.1,2.2,30.6,-24.2,///,///,3.9,16.8,ìÏêº,23.9,êºìÏêº,1331.5,827,49,109
2014,884.0,110.5,26.0,12.0,6.0,10.0,1.1,28.1,-28.8,///,///,3.5,17.0,êºìÏêº,28.3,ìÏêº,1571.3,643,23,82
2015,924.0,84.0,16.5,13.5,6.8,10.5,2.7,26.9,-21.4,///,///,3.7,21.0,êºìÏêº,31.6,ìÏìÏêº,1414.4,572,28,59
2016,1004.0,69.5,27.5,8.0,5.9,9.7,1.6,29.7,-22.5,///,///,3.5,15.0,ìå,23.3,ìåñkìå,1396.0,556,21,66
2017,871.0,42.5,14.5,10.5,5.9,9.7,1.6,27.3,-23.2,///,///,3.6,15.0,êº,24.2,ìÏêº,1418.7,460,21,55
2018,885.0,46.0,16.0,7.5,6.3,10.0,2.1,30.8 ],-22.7,///,///,3.5,20.8,êºìÏêº,28.6,êºìÏêº,1411.6,723,27,82
2019,771.0,99.5,47.5,10.0,6.7,10.6,2.5,30.8,-16.9,///,///,2.8,11.4,êº,20.9,êº,1484.3,449,23,56
2020,1148.0,83.0,31.0,15.5,6.7,10.5,2.9,30.5,-21.0,///,///,2.7,10.6,êºñkêº,21.6,ìÏìÏêº,1466.4,431,19,51
2021,937.5,51.0,34.5,15.0,7.1,11.2,2.8,32.8,-20.2,///,///,2.6,14.8,êºñkêº,28.7,êºñkêº,1429.2 ],543,28,94
2022,902.0,74.0,19.5,11.5,7.1,11.0,2.9,29.8,-21.7,///,///,2.7,10.4,ìÏ,22.4,ìÏìÏêº,1457.5,631,24,98
